City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temperature,Wind Speed
289,Yeonggwang,0,KR,1694956275,90,35.275,126.5094,71.82,0.89
290,Arica,10,CL,1694956224,74,-18.475,-70.3042,62.15,0.18
291,Concordia,57,AR,1694956276,80,-31.393,-58.0209,69.78,7.0
292,Lorengau,100,PG,1694956043,75,-2.0226,147.2712,80.65,12.39
293,Diapaga,78,BF,1694956276,57,12.0708,1.7889,88.27,5.86
294,Awjilah,97,LY,1694956024,21,29.1081,21.2869,92.86,10.47
295,Kouroussa,84,GN,1694956276,69,10.65,-9.8833,84.38,3.11
296,Sinabang,100,ID,1694956041,82,2.4803,96.3801,78.91,2.55
297,Florø,0,NO,1694956276,62,61.5996,5.0328,64.47,3.44
298,Negara,61,ID,1694956276,89,-8.3151,114.6025,74.5,6.96
299,Boyolangu,41,ID,1694956276,94,-8.1181,111.8935,72.66,3.71
300,Nyagan,100,RU,1694956276,51,62.1406,65.3936,66.42,7.85
301,Road Town,20,VG,1694956277,66,18.4167,-64.6167,87.89,10.36
302,Sirte,0,LY,1694956188,50,31.2089,16.5887,81.93,11.86
303,Ponnāni,100,IN,1694956277,86,10.767,75.9252,76.32,4.68
304,Saint Paul Harbor,0,US,1694955986,62,57.79,-152.4072,49.51,24.16
305,Yigo Village,75,GU,1694956277,89,13.5361,144.8886,80.13,4.61
306,Yolöten,0,TM,1694956277,13,37.2989,62.3597,84.65,13.35
307,Sablayan,100,PH,1694956203,76,12.8346,120.769,82.9,2.84
308,Manokwari,90,ID,1694956001,81,-0.8667,134.0833,79.57,3.18
309,San Rafael del Yuma,80,DO,1694956277,70,18.4299,-68.6739,84.4,8.08
310,Soyo,100,AO,1694956195,76,-6.1349,12.3689,77.45,8.39
311,Kohlu,14,PK,1694956277,49,29.8962,69.252,82.31,10.36
312,Tralee,100,IE,1694955714,88,52.2704,-9.7026,61.05,3.44
313,Princeville,100,CA,1694956278,95,45.7668,-61.2985,62.76,16.11
314,Barra do Garças,72,BR,1694956278,31,-15.89,-52.2567,93.54,8.1
315,Vilhena,0,BR,1694956278,30,-12.7406,-60.1458,90.77,4.16
316,Sosnovo-Ozerskoye,100,RU,1694956278,84,52.5249,111.5418,49.39,2.8
317,Nha Trang,100,VN,1694956278,83,12.25,109.1833,84.2,2.75
318,Comodoro Rivadavia,100,AR,1694955954,83,-45.8667,-67.5,40.08,11.07
319,Coxim,1,BR,1694956142,29,-18.5067,-54.76,95.18,10.56
320,Cobadin,36,RO,1694956278,41,44.0833,28.2167,76.32,13.53
321,Uffenheim,98,DE,1694956279,46,49.5333,10.25,84.4,5.46
322,Villa Mercedes,77,AR,1694956279,36,-33.6757,-65.4578,54.61,23.91
323,Raja,100,SS,1694956279,94,8.4596,25.678,73.09,3.13
324,Kearney,0,US,1694956279,88,40.6995,-99.0815,51.89,3.44
325,Kiunga,89,PG,1694956279,84,-6.1219,141.2906,70.93,3.02
326,Torghay,100,KZ,1694956279,60,49.6339,63.4981,62.82,13.2
327,Asūbulaq,10,KZ,1694956279,84,49.5583,83.0558,51.08,3.2
328,Saint-Pierre,40,RE,1694956279,65,-21.3393,55.4781,76.68,11.5
329,Moyynkum,1,KZ,1694956279,23,44.2914,72.9469,72.66,13.71
330,Elliot Lake,100,CA,1694956280,79,46.3834,-82.6331,52.74,6.78
331,Mahajanga,0,MG,1694955988,55,-15.7167,46.3167,82.47,13.78
332,Undurkhaan,98,MN,1694956280,60,47.3194,110.6556,51.84,7.29
333,Fort St. John,0,CA,1694956043,63,56.2499,-120.8529,45.84,5.61
334,Funehikimachi-funehiki,12,JP,1694956280,98,37.4333,140.5833,76.8,3.44
335,Sauðarkrokur,100,IS,1694956280,70,65.7461,-19.6394,49.24,4.9
336,Mawlaik,65,MM,1694956280,83,23.6333,94.4167,81.63,1.86
337,Zabul Province,0,AF,1694956280,13,32.25,67.25,83.44,16.87
338,Tual,29,ID,1694956027,81,-5.6667,132.75,78.28,18.79
339,Greymouth,13,NZ,1694956170,84,-42.4667,171.2,50.74,21.52
340,Kourou,87,GF,1694956280,65,5.1552,-52.6478,87.85,10.13
341,Bhawānipatna,100,IN,1694956281,87,19.9,83.1667,78.46,2.37
342,Jiayuguan City,97,CN,1694956281,31,39.8167,98.3,63.46,3.87
343,Kruisfontein,16,ZA,1694956033,52,-34.0033,24.7314,64.89,20.04
344,Necochea,95,AR,1694955985,53,-38.5473,-58.7368,53.85,13.87
345,Nzega,100,RW,1694956281,49,-2.479,29.5564,71.91,5.79
346,Birao,61,CF,1694956281,66,10.2849,22.7882,84.4,5.14
347,Tromsø,75,NO,1694956281,76,69.6496,18.957,44.62,11.5
348,Pornichet,75,FR,1694956281,82,47.2668,-2.3379,76.95,16.11
349,Iwanai,100,JP,1694956281,97,42.9744,140.5089,66.61,5.26
350,Killarney,100,IE,1694956093,88,52.05,-9.5167,60.85,3.44
351,Lüshunkou,9,CN,1694956281,72,38.8,121.2667,73.62,6.64
352,Ulsteinvik,97,NO,1694956028,69,62.3432,5.8487,60.08,3.0
